Listado de Proyectos EN EVALUACION

ID;TITULAR;RUC;TITULO_PROYECTO;UNIDAD_PROYECTO;TIPO;ACTIVIDAD;FECHA_INICIO;ESTADO;DESCRIPCION;LONGITUD;LATITUD;RESOLUCION;LABEL
"536";"TERMINAL PORTUARIO JINZHAO PERU SA";"20565869389";"CONSTRUCCIÓN    DE    PROYECTOS    DE    INFRAESTRUCTURA    DE TRANSPORTES   DE  ALCANCE  NACIONAL:   CARRETERAS,   PUERTOS, AEROPUERTOS,  FERROCARRILES Y HELIPUERTOS  (NO CONSIDERADOS EN EL ANEXO 1 RM 891-2019-MTC)";"TERMINAL PORTUARIO SAN JUAN DE MARCONA";"EIA-d";"Transportes";"05/07/2022";"En Evaluación";"SIN DESCRIPCION";"-75.14848349";"-15.34786082";"";"null";
"501";"PROVIAS DESCENTRALIZADO";"20380419247";"CREACIÓN DEL PUENTE CARLOS Y ACCESOS, DISTRITO DE INAMBARI, PROVINCIA DE MANU, REGIÓN DE MADRE DE DIOS";"CONSTRUCCIÓN  DE PUENTES  Y/O TÚNELES PERTENECIENTES  A LA RED VIAL NACIONAL  (NO CONSIDERADOS EN EL ANEXO 1 RM 891-2019-MTC)";"Clasificación";"Transportes";"30/12/2022";"En Evaluación";"SIN DESCRIPCION";"-70.38869452";"-12.89893483";"";"null";
"574";"CIA MINERA RAURA S A";"20100163552";"EXPLOTACIÓN, BENEFICIO Y LABOR GENERAL MINERO METÁLICOS";"RAURA";"MEIA-d";"Minería";"20/07/2022";"En Evaluación";"SIN DESCRIPCION";"-76.74447031";"-10.44664501";"";"null";
"568";"PROVIAS DESCENTRALIZADO";"20380419247";"MEJORAMIENTO DEL CAMINO VECINAL EMP.PE-5NA - MISHQUIPATA - MONOPATA, DISTRITO DE HUANCABAMBA - PROVINCIA DE OXAPAMPA - DEPARTAMENTO DE PASCO";"REHABILITACIÓN  Y MEJORAMIENTO  DE INFRAESTRUCTURA  DE TRANSPORTES DE ALCANCE NACIONAL Y/O MACROREGIONAL: CARRETERAS, PUERTOS, AEROPUERTOS, FERROCARRILES Y HELIPUERTOS  (NO CONSIDERADOS EN EL ANEXO 1 RM 891-2019-MTC)";"Clasificación";"Transportes";"26/01/2023";"En Evaluación";"SIN DESCRIPCION";"-75.54187155";"-10.34929878";"";"null";
"689";"SOCIEDAD MINERA RELIQUIAS S.A.C.";"20566420211";"PRIMER ITS DEL ESTUDIO DE IMPACTO AMBIENTAL DETALLADO DE LA UNIDAD MINERA RELIQUIAS %u2013 CAUDALOSA GRANDE";"RELIQUIAS-CAUDALOSA GRANDE";"ITS";"Minería";"10/06/2022";"En Evaluación";"SIN DESCRIPCION";"-75.22498304";"-13.20846316";"";"null";
"701";"MUNICIPALIDAD DISTRITAL DE ECHARATI";"20159368271";"CONSTRUCCIÓN DE LA CARRETERA VECINAL KAMANKIRIATO - TUNQUIMAYO II, ZONAL IVOCHOTE, DISTRITO DE ECHARATI, PROVINCIA DE LA CONVENCIÓN-CUSCO";"CARRETERA VECINAL KAMANKIRIATO-TUNQUIMAYO II";"Clasificación";"Transportes";"28/10/2022";"En Evaluación";"SIN DESCRIPCION";"-73.03799084";"-12.52659011";"";"null";
"1293";"COMPAÑIA DE MINAS BUENAVENTURA S.A.A.";"20100079501";"PLAN DE PARTICIPACIÓN CIUDADANA DE LA MODIFICACIÓN DEL ESTUDIO DE IMPACTO AMBIENTAL DE LA UM JULCANI";"JULCANI";"PPC";"Minería";"13/03/2023";"En Evaluación";"SIN DESCRIPCION";"-74.80397952";"-12.94082851";"";"null";
"1295";"AUTORIDAD PARA LA RECONSTRUCCION CON CAMBIOS";"20602114091";"CREACIÓN DEL SERVICIO DE PROTECCIÓN EN RIBERAS DEL RÍO LACRAMARCA VULNERABLES ANTE PELIGROS DE INUNDACIÓN, EN 58 COMUNIDADES EN LOS DISTRITOS DE MACATE, CÁCERES DEL PERÚ Y CHIMBOTE DE LA PROVINCIA DE SANTA %u2013 DEPARTAMENTO DE ANCASH%u201D.";"SIN UNIDAD";"IGAPRO";"Agricultura";"19/01/2023";"En Evaluación";"SIN DESCRIPCION";"-78.53959845";"-9.00318191";"";"null";
"1308";"GOBIERNO REGIONAL DE LIMA";"20530688390";"%u201CCONSTRUCCIÓN DE TROCHA CARROZABLE CACRA %u2013 HONGOS, DISTRITO DE HONGOS, YAUYOS %u2013 LIMA%u201D CUI N° 2115785";"OBRAS DE MENOR ENVERGADURA DENTRO DEL DERECHO DE VÍA  (NO CONSIDERADOS EN EL ANEXO 1 RM 891-2019-MTC)";"Clasificación";"Transportes";"12/12/2022";"En Evaluación";"SIN DESCRIPCION";"-75.78324399";"-12.81177844";"";"null";
"1309";"SALAVERRY TERMINAL INTERNACION";"20603487321";"Primera Modificación del Estudio de Impacto Ambiental detallado del Proyecto de Modernización y Desarrollo del Terminal Portuario Multipropósito de Salaverry";"Terminal Portuario Salaverry";"MEIA-d";"Transportes";"17/04/2023";"En Evaluación";"SIN DESCRIPCION";"-78.97979758";"-8.23292319";"";"null";
